Departamento;Provincia;Distrito;Pobreza
AMAZONAS;CHACHAPOYAS                                       ;CHACHAPOYAS                                       ;21.53
AMAZONAS;CHACHAPOYAS                                       ;ASUNCIÓN                                          ;53.31
AMAZONAS;CHACHAPOYAS                                       ;BALSAS                                            ;55.57
AMAZONAS;CHACHAPOYAS                                       ;CHETO                                             ;72.29
AMAZONAS;CHACHAPOYAS                                       ;CHILIQUÍN                                         ;59.83
AMAZONAS;CHACHAPOYAS                                       ;CHUQUIBAMBA                                       ;85.64
AMAZONAS;CHACHAPOYAS                                       ;GRANADA                                           ;53.70
AMAZONAS;CHACHAPOYAS                                       ;HUANCAS                                           ;42.40
AMAZONAS;CHACHAPOYAS                                       ;LA JALCA                                          ;88.96
AMAZONAS;CHACHAPOYAS                                       ;LEIMEBAMBA                                        ;54.87
AMAZONAS;CHACHAPOYAS                                       ;LEVANTO                                           ;69.47
AMAZONAS;CHACHAPOYAS                                       ;MAGDALENA                                         ;69.96
AMAZONAS;CHACHAPOYAS                                       ;MARISCAL CASTILLA                                 ;21.28
AMAZONAS;CHACHAPOYAS                                       ;MOLINOPAMPA                                       ;63.17
AMAZONAS;CHACHAPOYAS                                       ;MONTEVIDEO                                        ;58.87
AMAZONAS;CHACHAPOYAS                                       ;OLLEROS                                           ;83.50
AMAZONAS;CHACHAPOYAS                                       ;QUINJALCA                                         ;52.39
AMAZONAS;CHACHAPOYAS                                       ;SAN FRANCISCO DE DAGUAS                           ;53.10
AMAZONAS;CHACHAPOYAS                                       ;SAN ISIDRO DE MAINO                               ;36.59
AMAZONAS;CHACHAPOYAS                                       ;SOLOCO                                            ;58.07
AMAZONAS;CHACHAPOYAS                                       ;SONCHE                                            ;70.38
AMAZONAS;BAGUA                                             ;BAGUA                                             ;23.97
AMAZONAS;BAGUA                                             ;ARAMANGO                                          ;69.34
AMAZONAS;BAGUA                                             ;COPALLIN                                          ;55.34
AMAZONAS;BAGUA                                             ;EL PARCO                                          ;43.38
AMAZONAS;BAGUA                                             ;IMAZA                                             ;89.95
AMAZONAS;BAGUA                                             ;LA PECA                                           ;51.32
AMAZONAS;BONGARÁ                                           ;JUMBILLA                                          ;47.48
AMAZONAS;BONGARÁ                                           ;CHISQUILLA                                        ;29.15
AMAZONAS;BONGARÁ                                           ;CHURUJA                                           ;66.72
AMAZONAS;BONGARÁ                                           ;COROSHA                                           ;73.16
AMAZONAS;BONGARÁ                                           ;CUISPES                                           ;60.96
AMAZONAS;BONGARÁ                                           ;FLORIDA                                           ;46.92
AMAZONAS;BONGARÁ                                           ;JAZÁN                                             ;40.84
AMAZONAS;BONGARÁ                                           ;RECTA                                             ;22.39
AMAZONAS;BONGARÁ                                           ;SAN CARLOS                                        ;34.68
AMAZONAS;BONGARÁ                                           ;SHIPASBAMBA                                       ;65.60
AMAZONAS;BONGARÁ                                           ;VALERA                                            ;45.16
AMAZONAS;BONGARÁ                                           ;YAMBRASBAMBA                                      ;51.26
AMAZONAS;CONDORCANQUI                                      ;NIEVA                                             ;83.97
